mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	4/2	1	1	.d.i{	d	i		i	i						{	m	1	1	0, -3, 1		0	0
1	1	1	1	4/2	1	1	VI6	d	i		VI6	VI		6					M	1	1	0, -3, -4		-4	0
1	1	3/2	3/2	4/2	1	1	i	d	i		i	i							m	1	1	0, -3, 1		0	0
2	2	0	0	4/2	1	1	i6	d	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
3	3	0	0	4/2	1	1	VI6	d	i		VI6	VI		6					M	1	1	0, -3, -4		-4	0
3	3	1/4	1/4	4/2	1	1	i	d	i		i	i							m	1	1	0, -3, 1		0	0
3	3	1/2	1/2	4/2	1	1	iv64(2)	d	i		iv64(2)	iv		64	2				m	1	1	0, 1, -4		-1	0
3	3	3/4	3/4	4/2	1	1	iv64	d	i		iv64	iv		64					m	1	1	0, -1, -4		-1	0
3	3	1	1	4/2	1	1	VI6	d	i		VI6	VI		6					M	1	1	0, -3, -4		-4	0
3	3	5/4	5/4	4/2	1	1	ii7/VII	d	i		ii7/VII	ii		7		VII			mm7	1	1	0, -3, 1, -2		0	0
3	3	7/4	7/4	4/2	1	1	viio6/VII	d	i		viio6/VII	vii	o	6		VII			o	1	1	0, -3, 3		3	0
4	4	0	0	4/2	1	1	VII}{	d	i		VII	VII						}{	M	1	1	-2, 2, -1		-2	-2
4	4	1	1	4/2	1	1	vi6/VII	d	i		vi6/VII	vi		6		VII			m	1	1	-2, 2, 1		1	-2
4	4	3/2	3/2	4/2	1	1	VII	d	i		VII	VII							M	1	1	-2, 2, -1		-2	-2
5	5	0	0	4/2	1	1	i	d	i		i	i							m	1	1	0, -3, 1		0	0
6	6	0	0	4/2	1	1	v	d	i		v	v							m	1	1	1, -2, 2		1	1
6	6	1/2	1/2	4/2	1	1	III6	d	i		III6	III		6					M	1	1	1, -2, -3		-3	1
6	6	1	1	4/2	1	1	v	d	i		v	v							m	1	1	1, -2, 2		1	1
7	7	0	0	4/2	1	1	VII	d	i		VII	VII							M	1	1	-2, 2, -1		-2	-2
7	7	1/2	1/2	4/2	1	1	v6	d	i		v6	v		6					m	1	1	-2, 2, 1		1	-2
7	7	1	1	4/2	1	1	VII	d	i		VII	VII							M	1	1	-2, 2, -1		-2	-2
8	8	0	0	4/2	1	1	VI6	d	i		VI6	VI		6					M	1	1	0, -3, -4		-4	0
8	8	1/4	1/4	4/2	1	1	i	d	i		i	i							m	1	1	0, -3, 1		0	0
8	8	1	1	4/2	1	1	VI6	d	i		VI6	VI		6					M	1	1	0, -3, -4		-4	0
8	8	3/2	3/2	4/2	1	1	i	d	i		i	i							m	1	1	0, -3, 1		0	0
9	9	0	0	4/2	1	1	v/v	d	i		v/v	v				v			m	1	1	2, -1, 3		2	2
9	9	3/4	3/4	4/2	1	1	V(64)/v	d	i		V(64)/v	V			64	v			M	1	1	2, 1, -2		2	2
9	9	1	1	4/2	1	1	V/v	d	i		V/v	V				v			M	1	1	2, 6, 3		2	2
9	9	5/4	5/4	4/2	1	1	V(64)/v	d	i		V(64)/v	V			64	v			M	1	1	2, 1, -2		2	2
9	9	3/2	3/2	4/2	1	1	V(4)/v	d	i		V(4)/v	V			4	v			M	1	1	2, 1, 3		2	2
9	9	7/4	7/4	4/2	1	1	V/v	d	i		V/v	V				v			M	1	1	2, 6, 3		2	2
10	10	0	0	4/2	1	1	VI/v}{	d	i		VI/v	VI				v		}{	M	1	1	-3, 1, -2		-3	-3
11	11	0	0	4/2	1	1	v64	d	i		v64	v		64					m	1	1	2, 1, -2		1	2
11	11	1/2	1/2	4/2	1	1	VII6	d	i		VII6	VII		6					M	1	1	2, -1, -2		-2	2
