mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	8.0	0	0	4/2	1	1	d.i{		d	i		i	i						{	m	1	1	0, -3, 1		0	0
2	2	8	8	2.0	0	0	4/2	1	1	IV6		d	i		IV6	IV		6					M	1	1	3, 0, -1		-1	3
2	2	10	10	2.0	1/2	1/2	4/2	1	1	iv6		d	i		iv6	iv		6					m	1	1	-4, 0, -1		-1	-4
2	2	12	12	2.0	1	1	4/2	1	1	v		d	i		v	v							m	1	1	1, -2, 2		1	1
2	2	14	14	2.0	3/2	3/2	4/2	1	1	III	i6	d	i		III	III							M	1	1	-3, 1, -2		-3	-3
3	3	16	16	2.0	0	0	4/2	1	1	VII6(4)		d	i		VII6(4)	VII		6	4				M	1	1	-3, -1, -2		-2	-3
3	3	18	18	2.0	1/2	1/2	4/2	1	1	#viio6		d	i		#viio6	#vii	o	6					o	1	1	2, -1, 5		5	2
3	3	20	20	4.0	1	1	4/2	1	1	i		d	i		i	i							m	1	1	0, -3, 1		0	0
4	4	24	24	2.0	0	0	4/2	1	1	VII	v6	d	i		VII	VII							M	1	1	-2, 2, -1		-2	-2
4	4	26	26	2.0	1/2	1/2	4/2	1	1	v		d	i		v	v							m	1	1	1, -2, 2		1	1
4	4	28	28	2.0	1	1	4/2	1	1	I6		d	i		I6	I		6					M	1	1	4, 1, 0		0	4
4	4	30	30	2.0	3/2	3/2	4/2	1	1	i6		d	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
5	5	32	32	2.0	0	0	4/2	1	1	VII6		d	i		VII6	VII		6					M	1	1	2, -1, -2		-2	2
5	5	34	34	2.0	1/2	1/2	4/2	1	1	V		d	i		V	V							M	1	1	1, 5, 2		1	1
5	5	36	36	2.0	1	1	4/2	1	1	i}{		d	i		i	i						}{	m	1	1	0, -3, 1		0	0
5	5	38	38	2.0	3/2	3/2	4/2	1	1	VII6(+4)		d	i		VII6(+4)	VII		6	+4				M	1	1	2, -1, -2	-3	-2	2
6	6	40	40	1.0	0	0	4/2	1	1	ii65/VII		d	i		ii65/VII	ii		65		VII			mm7	1	1	-3, 1, -2, 0		0	-3
6	6	41	41	1.0	1/4	1/4	4/2	1	1	viio6/VII		d	i		viio6/VII	vii	o	6		VII			o	1	1	0, -3, 3		3	0
6	6	42	42	2.0	1/2	1/2	4/2	1	1	V/VII		d	i		V/VII	V				VII			M	1	1	-1, 3, 0		-1	-1
6	6	44	44	2.0	1	1	4/2	1	1	vi/VII}{		d	i		vi/VII	vi				VII		}{	m	1	1	1, -2, 2		1	1
6	6	46	46	2.0	3/2	3/2	4/2	1	1	III		d	i		III	III							M	1	1	-3, 1, -2		-3	-3
7	7	48	48	2.0	0	0	4/2	1	1	I		d	i		I	I							M	1	1	0, 4, 1		0	0
7	7	50	50	2.0	1/2	1/2	4/2	1	1	i		d	i		i	i							m	1	1	0, -3, 1		0	0
7	7	52	52	4.0	1	1	4/2	1	1	v		d	i		v	v							m	1	1	1, -2, 2		1	1
8	8	56	56	2.0	0	0	4/2	1	1	#vio6		d	i		#vio6	#vi	o	6					o	1	1	0, -3, 3		3	0
8	8	58	58	2.0	1/2	1/2	4/2	1	1	VI6		d	i		VI6	VI		6					M	1	1	0, -3, -4		-4	0
8	8	60	60	2.0	1	1	4/2	1	1	III	i6	d	i		III	III							M	1	1	-3, 1, -2		-3	-3
8	8	62	62	2.0	3/2	3/2	4/2	1	1	i		d	i		i	i							m	1	1	0, -3, 1		0	0
9	9	64	64	2.0	0	0	4/2	1	1	IV6		d	i		IV6	IV		6					M	1	1	3, 0, -1		-1	3
9	9	66	66	2.0	1/2	1/2	4/2	1	1	VII(9)		d	i		VII(9)	VII			9				M	1	1	-2, 2, -1	0	-2	-2
9	9	68	68	2.0	1	1	4/2	1	1	ii65		d	i		ii65	ii		65					mm7	1	1	-1, 3, 0, 2		2	-1
9	9	70	70	2.0	3/2	3/2	4/2	1	1	v		d	i		v	v							m	1	1	1, -2, 2		1	1
10	10	72	72	2.0	0	0	4/2	1	1	v6		d	i		v6	v		6					m	1	1	-2, 2, 1		1	-2
10	10	74	74	2.0	1/2	1/2	4/2	1	1	V6		d	i		V6	V		6					M	1	1	5, 2, 1		1	5
10	10	76	76	2.0	1	1	4/2	1	1	i		d	i		i	i							m	1	1	0, -3, 1		0	0
10	10	78	78	1.0	3/2	3/2	4/2	1	1	I		d	i		I	I							M	1	1	0, 4, 1		0	0
10	10	79	79	1.0	7/4	7/4	4/2	1	1	V2/iv		d	i		V2/iv	V		2		iv			Mm7	1	1	-2, 0, 4, 1		0	-2
11	11	80	80	4.0	0	0	4/2	1	1	iv6		d	i		iv6	iv		6					m	1	1	-4, 0, -1		-1	-4
11	11	84	84	2.0	1	1	4/2	1	1	IV		d	i		IV	IV							M	1	1	-1, 3, 0		-1	-1
11	11	86	86	2.0	3/2	3/2	4/2	1	1	iv		d	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
12	12	88	88	2.0	0	0	4/2	1	1	I(64)}		d	i		I(64)	I			64			}	M	1	1	0, -1, -4		0	0
12	12	90	90	6.0	1/2	1/2	4/2	1	1	I		d	i		I	I							M	1	1	0, 4, 1		0	0
