mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	0	6.0	0	0	3/2	1	1	3/2	1	3/2		3	69	A4	4	0
1	1	2	2	2.0	1/2	1/2	3/2	1	2	1/2	1/2	1		2	62	D4	4	1
1	1	4	4	2.0	1	1	3/2	2	1	1/2	1/2	1		3	57	A3	3	3
1	1	4	4	2.0	1	1	3/2	1	2	1/2	1/2	1		-1	65	F4	4	2
2	2	6	6	2.0	0	0	3/2	2	1	1/2	1/2	1		0	60	C4	4	9
2	2	6	6	2.0	0	0	3/2	1	2	1/2	1/2	1		4	64	E4	4	5
2	2	6	6	6.0	0	0	3/2	1	1	3/2	1	3/2		1	67	G4	4	4
2	2	8	8	1.0	1/2	1/2	3/2	2	1	1/4	1/4	1		5	59	B3	3	10
2	2	8	8	1.0	1/2	1/2	3/2	1	2	1/4	1/4	1		2	62	D4	4	6
2	2	9	9	1.0	3/4	3/4	3/2	2	1	1/4	1/4	1		3	57	A3	3	11
2	2	9	9	1.0	3/4	3/4	3/2	1	2	1/4	1/4	1		0	60	C4	4	7
2	2	10	10	1.0	1	1	3/2	2	1	1/4	1/4	1		-2	58	Bb3	3	12
2	2	10	10	2.0	1	1	3/2	1	2	1/2	1/2	1		2	62	D4	4	8
2	2	11	11	1.0	5/4	5/4	3/2	2	1	1/4	1/4	1		1	55	G3	3	13
3	3	12	12	3.0	0	0	3/2	2	1	3/4	1/2	3/2		-2	58	Bb3	3	17
3	3	12	12	6.0	0	0	3/2	1	1	3/2	1	3/2		2	74	D5	5	14
3	3	14	14	2.0	1/2	1/2	3/2	1	2	1/2	1/2	1		2	62	D4	4	15
3	3	15	15	0.5	3/4	3/4	3/2	2	1	1/8	1/8	1		3	57	A3	3	18
3	3	31/2	31/2	0.5	7/8	7/8	3/2	2	1	1/8	1/8	1		1	55	G3	3	19
3	3	16	16	1.0	1	1	3/2	2	1	1/4	1/4	1		-1	53	F3	3	20
3	3	16	16	2.0	1	1	3/2	1	2	1/2	1/2	1	1	-1	65	F4	4	16
3	3	17	17	1.0	5/4	5/4	3/2	2	1	1/4	1/4	1		1	55	G3	3	21
4	4	18	18	2.0	0	0	3/2	2	1	1/2	1/2	1		3	57	A3	3	29
4	4	18	18	1.0	0	0	3/2	1	2	1/4	1/4	1	-1	-1	65	F4	4	23
4	4	18	18	6.0	0	0	3/2	1	1	3/2	1	3/2		0	72	C5	5	22
4	4	19	19	1.0	1/4	1/4	3/2	1	2	1/4	1/4	1		4	64	E4	4	24
4	4	20	20	2.0	1/2	1/2	3/2	2	1	1/2	1/2	1		3	57	A3	3	30
4	4	20	20	1.0	1/2	1/2	3/2	1	2	1/4	1/4	1		3	69	A4	4	25
4	4	21	21	1.0	3/4	3/4	3/2	1	2	1/4	1/4	1		1	67	G4	4	26
4	4	22	22	2.0	1	1	3/2	2	1	1/2	1/2	1		0	60	C4	4	31
4	4	22	22	1.0	1	1	3/2	1	2	1/4	1/4	1		-1	65	F4	4	27
4	4	23	23	1.0	5/4	5/4	3/2	1	2	1/4	1/4	1		4	64	E4	4	28
5	5	24	24	4.0	0	0	3/2	2	1	1	1	1		-2	58	Bb3	3	36
5	5	24	24	3.0	0	0	3/2	1	2	3/4	1/2	3/2		-1	65	F4	4	33
5	5	24	24	6.0	0	0	3/2	1	1	3/2	1	3/2		2	74	D5	5	32
5	5	26	26	2.0	1/2	1/2	3/2	2	2	1/2	1/2	1		2	50	D3	3	38
5	5	27	27	1.0	3/4	3/4	3/2	1	2	1/4	1/4	1		1	67	G4	4	34
5	5	28	28	2.0	1	1	3/2	2	2	1/2	1/2	1		-1	53	F3	3	39
5	5	28	28	2.0	1	1	3/2	2	1	1/2	1/2	1		3	57	A3	3	37
5	5	28	28	2.0	1	1	3/2	1	2	1/2	1/2	1		3	69	A4	4	35
6	6	30	30	3.0	0	0	3/2	2	2	3/4	1/2	3/2		4	52	E3	3	47
6	6	30	30	2.0	0	0	3/2	2	1	1/2	1/2	1		0	60	C4	4	45
6	6	30	30	3.0	0	0	3/2	1	2	3/4	1/2	3/2		1	67	G4	4	41
6	6	30	30	6.0	0	0	3/2	1	1	3/2	1	3/2		0	72	C5	5	40
6	6	32	32	4.0	1/2	1/2	3/2	2	1	1	1	1		1	55	G3	3	46
6	6	33	33	1.0	3/4	3/4	3/2	2	2	1/4	1/4	1		2	50	D3	3	48
6	6	33	33	1.0	3/4	3/4	3/2	1	2	1/4	1/4	1		-1	65	F4	4	42
6	6	34	34	1.0	1	1	3/2	2	2	1/4	1/4	1		4	52	E3	3	49
6	6	34	34	1.0	1	1	3/2	1	2	1/4	1/4	1		1	67	G4	4	43
6	6	35	35	1.0	5/4	5/4	3/2	2	2	1/4	1/4	1		0	48	C3	3	50
6	6	35	35	1.0	5/4	5/4	3/2	1	2	1/4	1/4	1		4	64	E4	4	44
7	7	36	36	1.0	0	0	3/2	2	2	1/4	1/4	1		1	55	G3	3	56
7	7	36	36	3.0	0	0	3/2	1	2	3/4	1/2	3/2		2	62	D4	4	52
7	7	36	36	6.0	0	0	3/2	1	1	3/2	1	3/2		-2	70	Bb4	4	51
7	7	37	37	1.0	1/4	1/4	3/2	2	2	1/4	1/4	1		1	43	G2	2	57
7	7	38	38	1.0	1/2	1/2	3/2	2	2	1/4	1/4	1		-2	46	Bb2	2	58
7	7	39	39	1.0	3/4	3/4	3/2	2	2	1/4	1/4	1		0	48	C3	3	59
7	7	39	39	1.0	3/4	3/4	3/2	1	2	1/4	1/4	1		4	64	E4	4	53
7	7	40	40	1.0	1	1	3/2	2	2	1/4	1/4	1		2	50	D3	3	60
7	7	40	40	1.0	1	1	3/2	1	2	1/4	1/4	1		-1	65	F4	4	54
7	7	41	41	1.0	5/4	5/4	3/2	2	2	1/4	1/4	1		4	52	E3	3	61
7	7	41	41	1.0	5/4	5/4	3/2	1	2	1/4	1/4	1		1	67	G4	4	55
8	8	42	42	4.0	0	0	3/2	2	2	1	1	1		-1	53	F3	3	68
8	8	42	42	2.0	0	0	3/2	1	2	1/2	1/2	1		3	69	A4	4	63
8	8	42	42	6.0	0	0	3/2	1	1	3/2	1	3/2		3	69	A4	4	62
8	8	44	44	2.0	1/2	1/2	3/2	2	1	1/2	1/2	1		3	57	A3	3	66
8	8	44	44	2.0	1/2	1/2	3/2	1	2	1/2	1/2	1		-1	65	F4	4	64
8	8	46	46	2.0	1	1	3/2	2	1	1/2	1/2	1		0	60	C4	4	67
8	8	46	46	2.0	1	1	3/2	1	2	1/2	1/2	1		4	64	E4	4	65
9	9	48	48	2.0	0	0	3/2	2	1	1/2	1/2	1		5	59	B3	3	72
9	9	48	48	4.0	0	0	3/2	1	2	1	1	1		2	62	D4	4	70
9	9	48	48	6.0	0	0	3/2	1	1	3/2	1	3/2		1	67	G4	4	69
9	9	50	50	1.0	1/2	1/2	3/2	2	1	1/4	1/4	1		3	57	A3	3	73
9	9	51	51	1.0	3/4	3/4	3/2	2	1	1/4	1/4	1		1	55	G3	3	74
9	9	52	52	1.0	1	1	3/2	2	1	1/4	1/4	1		0	60	C4	4	75
9	9	52	52	2.0	1	1	3/2	1	2	1/2	1/2	1		4	64	E4	4	71
9	9	53	53	1.0	5/4	5/4	3/2	2	1	1/4	1/4	1		0	48	C3	3	76
10	10	54	54	1.0	0	0	3/2	2	1	1/4	1/4	1		-1	53	F3	3	82
10	10	54	54	3.0	0	0	3/2	1	2	3/4	1/2	3/2		-1	65	F4	4	78
10	10	54	54	6.0	0	0	3/2	1	1	3/2	1	3/2		3	69	A4	4	77
10	10	55	55	1.0	1/4	1/4	3/2	2	1	1/4	1/4	1		1	55	G3	3	83
10	10	56	56	1.0	1/2	1/2	3/2	2	1	1/4	1/4	1		3	57	A3	3	84
10	10	57	57	1.0	3/4	3/4	3/2	2	1	1/4	1/4	1		5	59	B3	3	85
10	10	57	57	0.5	3/4	3/4	3/2	1	2	1/8	1/8	1		1	67	G4	4	79
10	10	115/2	115/2	0.5	7/8	7/8	3/2	1	2	1/8	1/8	1		-1	65	F4	4	80
10	10	58	58	1.0	1	1	3/2	2	1	1/4	1/4	1		7	61	C#4	4	86
10	10	58	58	2.0	1	1	3/2	1	2	1/2	1/2	1		4	64	E4	4	81
10	10	59	59	1.0	5/4	5/4	3/2	2	1	1/4	1/4	1		3	57	A3	3	87
11	11	60	60	4.0	0	0	3/2	2	1	1	1	1		2	62	D4	4	90
11	11	60	60	6.0	0	0	3/2	1	2	3/2	1	3/2		-1	65	F4	4	89
11	11	60	60	6.0	0	0	3/2	1	1	3/2	1	3/2		3	69	A4	4	88
11	11	62	62	2.0	1/2	1/2	3/2	2	2	1/2	1/2	1		2	50	D3	3	92
11	11	64	64	2.0	1	1	3/2	2	2	1/2	1/2	1		-1	53	F3	3	93
11	11	64	64	2.0	1	1	3/2	2	1	1/2	1/2	1		3	57	A3	3	91
12	12	66	66	3.0	0	0	3/2	2	2	3/4	1/2	3/2		4	52	E3	3	98
12	12	66	66	2.0	0	0	3/2	2	1	1/2	1/2	1		0	60	C4	4	95
12	12	66	66	6.0	0	0	3/2	1	1	3/2	1	3/2		1	67	G4	4	94
12	12	68	68	3.0	1/2	1/2	3/2	2	1	3/4	1/2	3/2		5	59	B3	3	96
12	12	69	69	1.0	3/4	3/4	3/2	2	2	1/4	1/4	1		-1	53	F3	3	99
12	12	70	70	2.0	1	1	3/2	2	2	1/2	1/2	1		1	55	G3	3	100
12	12	71	71	1.0	5/4	5/4	3/2	2	1	1/4	1/4	1		7	61	C#4	4	97
13	13	72	72	3.0	0	0	3/2	2	2	3/4	1/2	3/2		2	50	D3	3	105
13	13	72	72	4.0	0	0	3/2	2	1	1	1	1		2	62	D4	4	104
13	13	72	72	6.0	0	0	3/2	1	1	3/2	1	3/2		-1	65	F4	4	101
13	13	74	74	2.0	1/2	1/2	3/2	1	2	1/2	1/2	1		3	57	A3	3	102
13	13	75	75	0.5	3/4	3/4	3/2	2	2	1/8	1/8	1		0	48	C3	3	106
13	13	151/2	151/2	0.5	7/8	7/8	3/2	2	2	1/8	1/8	1		5	47	B2	2	107
13	13	76	76	1.0	1	1	3/2	2	2	1/4	1/4	1		3	45	A2	2	108
13	13	76	76	2.0	1	1	3/2	1	2	1/2	1/2	1	1	0	60	C4	4	103
13	13	77	77	1.0	5/4	5/4	3/2	2	2	1/4	1/4	1		5	47	B2	2	109
14	14	78	78	3.0	0	0	3/2	2	2	3/4	1/2	3/2		0	48	C3	3	116
14	14	78	78	1.0	0	0	3/2	1	2	1/4	1/4	1	-1	0	60	C4	4	111
14	14	78	78	6.0	0	0	3/2	1	1	3/2	1	3/2		4	64	E4	4	110
14	14	79	79	0.5	1/4	1/4	3/2	1	2	1/8	1/8	1		5	59	B3	3	112
14	14	159/2	159/2	0.5	3/8	3/8	3/2	1	2	1/8	1/8	1		3	57	A3	3	113
14	14	80	80	3.0	1/2	1/2	3/2	1	2	3/4	1/2	3/2		1	55	G3	3	114
14	14	81	81	1.0	3/4	3/4	3/2	2	2	1/4	1/4	1		2	50	D3	3	117
14	14	82	82	1.0	1	1	3/2	2	2	1/4	1/4	1		4	52	E3	3	118
14	14	83	83	1.0	5/4	5/4	3/2	2	2	1/4	1/4	1		-1	53	F3	3	119
14	14	83	83	1.0	5/4	5/4	3/2	1	2	1/4	1/4	1		3	57	A3	3	115
15	15	84	84	2.0	0	0	3/2	2	2	1/2	1/2	1		1	55	G3	3	124
15	15	84	84	4.0	0	0	3/2	1	2	1	1	1		-2	58	Bb3	3	121
15	15	84	84	6.0	0	0	3/2	1	1	3/2	1	3/2		2	62	D4	4	120
15	15	86	86	2.0	1/2	1/2	3/2	2	2	1/2	1/2	1		1	43	G2	2	125
15	15	88	88	2.0	1	1	3/2	2	2	1/2	1/2	1		-2	46	Bb2	2	126
15	15	88	88	2.0	1	1	3/2	2	1	1/2	1/2	1		2	50	D3	3	123
15	15	88	88	2.0	1	1	3/2	1	2	1/2	1/2	1		1	55	G3	3	122
16	16	90	90	3.0	0	0	3/2	2	2	3/4	1/2	3/2		3	45	A2	2	132
16	16	90	90	2.0	0	0	3/2	2	1	1/2	1/2	1		-1	53	F3	3	129
16	16	90	90	6.0	0	0	3/2	1	2	3/2	1	3/2		3	57	A3	3	128
16	16	90	90	6.0	0	0	3/2	1	1	3/2	1	3/2	1	0	60	C4	4	127
16	16	92	92	3.0	1/2	1/2	3/2	2	1	3/4	1/2	3/2		4	52	E3	3	130
16	16	93	93	1.0	3/4	3/4	3/2	2	2	1/4	1/4	1		5	47	B2	2	133
16	16	94	94	2.0	1	1	3/2	2	2	1/2	1/2	1		0	48	C3	3	134
16	16	95	95	1.0	5/4	5/4	3/2	2	1	1/4	1/4	1		-1	53	F3	3	131
