mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	0	4.0	0	0	4/2	1	1	1	1	1		3	69	A4	4	0
1	1	0	0	4.0	0	0	4/2	3	1	1	1	1		3	69	A4	4	3
1	1	4	4	2.0	1	1	4/2	1	1	1/2	1/2	1		-2	70	Bb4	4	1
1	1	4	4	2.0	1	1	4/2	3	1	1/2	1/2	1		-2	70	Bb4	4	4
1	1	6	6	2.0	3/2	3/2	4/2	1	1	1/2	1/2	1		5	71	B4	4	2
1	1	6	6	2.0	3/2	3/2	4/2	3	1	1/2	1/2	1		5	71	B4	4	5
2	2	8	8	2.0	0	0	4/2	1	1	1/2	1/2	1		6	66	F#4	4	6
2	2	8	8	2.0	0	0	4/2	3	1	1/2	1/2	1		6	66	F#4	4	9
2	2	10	10	2.0	1/2	1/2	4/2	1	1	1/2	1/2	1		-1	65	F4	4	7
2	2	10	10	2.0	1/2	1/2	4/2	3	1	1/2	1/2	1		-1	65	F4	4	10
2	2	12	12	4.0	1	1	4/2	1	1	1	1	1		4	64	E4	4	8
2	2	12	12	4.0	1	1	4/2	3	1	1	1	1		4	64	E4	4	11
3	3	16	16	1.0	0	0	4/2	1	1	1/4	1/4	1		2	62	D4	4	12
3	3	16	16	1.0	0	0	4/2	3	1	1/4	1/4	1		2	62	D4	4	22
3	3	17	17	1.0	1/4	1/4	4/2	1	1	1/4	1/4	1		4	64	E4	4	13
3	3	17	17	1.0	1/4	1/4	4/2	3	1	1/4	1/4	1		4	64	E4	4	23
3	3	18	18	2.0	1/2	1/2	4/2	1	2	1/2	1/2	1		2	62	D4	4	19
3	3	18	18	2.0	1/2	1/2	4/2	3	2	1/2	1/2	1		2	62	D4	4	29
3	3	18	18	1.0	1/2	1/2	4/2	1	1	1/4	1/4	1		-1	65	F4	4	14
3	3	18	18	1.0	1/2	1/2	4/2	3	1	1/4	1/4	1		-1	65	F4	4	24
3	3	19	19	1.0	3/4	3/4	4/2	1	1	1/4	1/4	1		1	67	G4	4	15
3	3	19	19	1.0	3/4	3/4	4/2	3	1	1/4	1/4	1		1	67	G4	4	25
3	3	20	20	2.0	1	1	4/2	1	2	1/2	1/2	1		-1	65	F4	4	20
3	3	20	20	2.0	1	1	4/2	3	2	1/2	1/2	1		-1	65	F4	4	30
3	3	20	20	1.0	1	1	4/2	1	1	1/4	1/4	1		3	69	A4	4	16
3	3	20	20	1.0	1	1	4/2	3	1	1/4	1/4	1		3	69	A4	4	26
3	3	21	21	1.0	5/4	5/4	4/2	1	1	1/4	1/4	1		2	62	D4	4	17
3	3	21	21	1.0	5/4	5/4	4/2	3	1	1/4	1/4	1		2	62	D4	4	27
3	3	22	22	2.0	3/2	3/2	4/2	1	2	1/2	1/2	1		6	66	F#4	4	21
3	3	22	22	2.0	3/2	3/2	4/2	3	2	1/2	1/2	1		6	66	F#4	4	31
3	3	22	22	2.0	3/2	3/2	4/2	1	1	1/2	1/2	1		2	74	D5	5	18
3	3	22	22	2.0	3/2	3/2	4/2	3	1	1/2	1/2	1		2	74	D5	5	28
4	4	24	24	2.0	0	0	4/2	1	2	1/2	1/2	1		7	61	C#4	4	35
4	4	24	24	2.0	0	0	4/2	3	2	1/2	1/2	1		7	61	C#4	4	41
4	4	24	24	2.0	0	0	4/2	1	1	1/2	1/2	1		4	76	E5	5	32
