mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	volta	chord_id
1	1	0	0	4/2	2	1	1/2	1/2	1		3	69		0
1	1	0	0	4/2	4	1	1/2	1/2	1		3	69		16
1	1	1/4	1/4	4/2	2	2	1/4	1/4	1		3	57		5
1	1	1/4	1/4	4/2	4	2	1/4	1/4	1		3	57		21
1	1	1/2	1/2	4/2	2	2	1/4	1/4	1		0	60		6
1	1	1/2	1/2	4/2	4	2	1/4	1/4	1		0	60		22
1	1	1/2	1/2	4/2	2	1	1/4	1/4	1		1	67		1
1	1	1/2	1/2	4/2	4	1	1/4	1/4	1		1	67		17
1	1	3/4	3/4	4/2	2	2	3/8	1/4	3/2		2	62		7
1	1	3/4	3/4	4/2	4	2	3/8	1/4	3/2		2	62		23
1	1	3/4	3/4	4/2	2	1	1/4	1/4	1		-1	65		2
1	1	3/4	3/4	4/2	4	1	1/4	1/4	1		-1	65		18
1	1	1	1	4/2	2	1	1/2	1/2	1		-2	70		3
1	1	1	1	4/2	4	1	1/2	1/2	1		-2	70		19
1	1	9/8	9/8	4/2	2	2	1/8	1/8	1		0	60		8
1	1	9/8	9/8	4/2	4	2	1/8	1/8	1		0	60		24
1	1	5/4	5/4	4/2	2	2	1/8	1/8	1		2	62		9
1	1	5/4	5/4	4/2	4	2	1/8	1/8	1		2	62		25
1	1	11/8	11/8	4/2	2	2	1/8	1/8	1		4	64		10
1	1	11/8	11/8	4/2	4	2	1/8	1/8	1		4	64		26
1	1	3/2	3/2	4/2	2	2	1/8	1/8	1		-1	65		11
1	1	3/2	3/2	4/2	4	2	1/8	1/8	1		-1	65		27
1	1	3/2	3/2	4/2	2	1	1/2	1/2	1		3	69		4
1	1	3/2	3/2	4/2	4	1	1/2	1/2	1		3	69		20
1	1	13/8	13/8	4/2	2	2	1/8	1/8	1		4	64		12
1	1	13/8	13/8	4/2	4	2	1/8	1/8	1		4	64		28
1	1	7/4	7/4	4/2	3	1	1/4	1/4	1		3	57		15
1	1	7/4	7/4	4/2	5	1	1/4	1/4	1		3	57		31
1	1	7/4	7/4	4/2	2	2	1/8	1/8	1		0	60		13
1	1	7/4	7/4	4/2	4	2	1/8	1/8	1		0	60		29
1	1	15/8	15/8	4/2	2	2	1/8	1/8	1		2	62		14
1	1	15/8	15/8	4/2	4	2	1/8	1/8	1		2	62		30
2	2	0	0	4/2	3	1	1/4	1/4	1		0	60		39
2	2	0	0	4/2	5	1	1/4	1/4	1		0	60		55
2	2	0	0	4/2	2	2	1/4	1/4	1		4	64		33
2	2	0	0	4/2	4	2	1/4	1/4	1		4	64		49
2	2	0	0	4/2	2	1	1	1	1		3	69		32
2	2	0	0	4/2	4	1	1	1	1		3	69		48
2	2	1/4	1/4	4/2	3	1	1/2	1/2	1		2	62		40
2	2	1/4	1/4	4/2	5	1	1/2	1/2	1		2	62		56
2	2	1/4	1/4	4/2	2	2	1/4	1/4	1		-1	65		34
2	2	1/4	1/4	4/2	4	2	1/4	1/4	1		-1	65		50
2	2	1/2	1/2	4/2	3	2	1/2	1/2	1		3	57		45
2	2	1/2	1/2	4/2	5	2	1/2	1/2	1		3	57		61
2	2	1/2	1/2	4/2	2	2	1/4	1/4	1		4	64		35
2	2	1/2	1/2	4/2	4	2	1/4	1/4	1		4	64		51
2	2	3/4	3/4	4/2	3	1	1/4	1/4	1		0	60		41
2	2	3/4	3/4	4/2	5	1	1/4	1/4	1		0	60		57
2	2	3/4	3/4	4/2	2	2	1/4	1/4	1		4	64		36
2	2	3/4	3/4	4/2	4	2	1/4	1/4	1		4	64		52
2	2	1	1	4/2	3	2	1/2	1/2	1		1	55		46
2	2	1	1	4/2	5	2	1/2	1/2	1		1	55		62
2	2	1	1	4/2	3	1	1/4	1/4	1		2	62		42
2	2	1	1	4/2	5	1	1/4	1/4	1		2	62		58
2	2	1	1	4/2	2	2	1/2	1/2	1		1	67		37
2	2	1	1	4/2	4	2	1/2	1/2	1		1	67		53
2	2	5/4	5/4	4/2	3	1	1/2	1/2	1		4	64		43
2	2	5/4	5/4	4/2	5	1	1/2	1/2	1		4	64		59
2	2	3/2	3/2	4/2	3	2	1/2	1/2	1		-1	53		47
2	2	3/2	3/2	4/2	5	2	1/2	1/2	1		-1	53		63
2	2	3/2	3/2	4/2	2	2	1/2	1/2	1		3	69		38
2	2	3/2	3/2	4/2	4	2	1/2	1/2	1		3	69		54
2	2	7/4	7/4	4/2	3	1	1/4	1/4	1	1	2	62		44
2	2	7/4	7/4	4/2	5	1	1/4	1/4	1	1	2	62		60
3	3	0	0	4/2	3	2	3/4	1/2	3/2		1	55		81
3	3	0	0	4/2	5	2	3/4	1/2	3/2		1	55		102
3	3	0	0	4/2	3	1	1/4	1/4	1	-1	2	62		74
3	3	0	0	4/2	5	1	1/4	1/4	1	-1	2	62		95
3	3	1/4	1/4	4/2	3	1	1/8	1/8	1		0	60		75
3	3	1/4	1/4	4/2	5	1	1/8	1/8	1		0	60		96
3	3	1/4	1/4	4/2	2	2	1/2	1/2	1		4	64		68
3	3	1/4	1/4	4/2	4	2	1/2	1/2	1		4	64		89
3	3	3/8	3/8	4/2	3	1	1/8	1/8	1		5	59		76
3	3	3/8	3/8	4/2	5	1	1/8	1/8	1		5	59		97
3	3	1/2	1/2	4/2	3	1	1/2	1/2	1		3	57		77
3	3	1/2	1/2	4/2	5	1	1/2	1/2	1		3	57		98
3	3	1/2	1/2	4/2	2	1	1/4	1/4	1		0	72		64
3	3	1/2	1/2	4/2	4	1	1/4	1/4	1		0	72		85
3	3	3/4	3/4	4/2	3	2	1/4	1/4	1		-1	53		82
3	3	3/4	3/4	4/2	5	2	1/4	1/4	1		-1	53		103
3	3	3/4	3/4	4/2	2	2	1/4	1/4	1		2	62		69
3	3	3/4	3/4	4/2	4	2	1/4	1/4	1		2	62		90
